latitude,longitude,Category,Gravity,CrimeHead,IncidentFromDate,TimeBucket,TotalVictims,TotalAccused
15.671807679367644,77.5901728710654,FIR,Non-Heinous,ASSAULT,2016-01-05 06:37:00,MORNING,1,1
15.239608649246676,75.7551675319016,UDR,Non-Heinous,ANTIQUES (CULTURAL PROPERTY),2016-01-12 08:19:00,MORNING,0,5
12.934197943128227,76.51878433998898,FIR,Non-Heinous,ANTIQUES (CULTURAL PROPERTY),2016-01-12 13:21:00,DAY,0,1
16.055814652254703,77.29053682625704,FIR,Non-Heinous,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,2016-01-15 16:27:00,DAY,3,1
13.983800383751628,76.60116513903955,FIR,Heinous,DEFAMATION,2016-01-18 14:15:00,DAY,1,1
13.809325417139496,76.87803718048356,FIR,Non-Heinous,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,2016-01-19 06:08:00,MORNING,1,1
12.80600838358744,76.23024548552867,FIR,Non-Heinous,ANTIQUES (CULTURAL PROPERTY),2016-01-20 11:57:00,MORNING,0,1
13.848059280118774,78.14445953270594,UDR,Non-Heinous,ANTIQUES (CULTURAL PROPERTY),2016-01-20 11:47:00,MORNING,0,1
13.728325290820116,74.89041091221067,FIR,Non-Heinous,PUBLIC JUSTICE,2016-01-21 17:16:00,DAY,0,2
16.133147116171212,74.74131155059564,FIR,Non-Heinous,ANTIQUES (CULTURAL PROPERTY),2016-01-22 12:56:00,DAY,0,5
16.632851574940453,77.32908706476503,FIR,Non-Heinous,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,2016-01-24 13:53:00,DAY,2,2
17.185150536105056,75.86777690133434,FIR,Heinous,DEFAMATION,2016-01-25 12:25:00,DAY,1,1
12.095069781420438,76.03601439342364,FIR,Non-Heinous,ANTIQUES (CULTURAL PROPERTY),2016-01-27 07:18:00,MORNING,0,2
16.989919250655273,75.68479193067867,PAR,Non-Heinous,DACOITY,2015-09-29 19:48:00,EVENING,0,2
15.744316111314824,75.94910432732694,FIR,Non-Heinous,COMMUNAL / RELIGION   ,2016-01-31 19:14:00,EVENING,1,7
16.261518616615028,75.54362800171647,FIR,Non-Heinous,ANTIQUES (CULTURAL PROPERTY),2016-02-01 08:39:00,MORNING,0,2
14.493979341392553,75.93194888882785,FIR,Non-Heinous,ANTIQUES (CULTURAL PROPERTY),2016-02-03 03:33:00,NIGHT,0,1
16.016526339722454,76.75080434080225,UDR,Non-Heinous,ANTIQUES (CULTURAL PROPERTY),2016-02-05 13:53:00,DAY,0,1
13.218431719495937,77.31242975148143,Zero FIR,Non-Heinous,ANTIQUES (CULTURAL PROPERTY),2016-02-06 16:29:00,DAY,0,2
15.708147721355555,77.23465749012121,FIR,Non-Heinous,ANTIQUES (CULTURAL PROPERTY),2016-02-06 17:20:00,DAY,0,5
14.355863667698616,76.66113621626421,FIR,Non-Heinous,MISSING PERSON,2016-02-08 23:24:00,NIGHT,1,1
15.790060018391571,75.32946458185016,FIR,Non-Heinous,DACOITY,2015-08-08 13:53:00,DAY,0,7
14.70831109650545,78.28280662060172,Zero FIR,Non-Heinous,NEGLIGENT ACT,2016-02-09 13:47:00,DAY,0,2
13.103133838509832,74.91919608155038,FIR,Heinous,DEFAMATION,2016-02-10 22:43:00,NIGHT,1,1
14.475401243292978,74.7159710161613,Zero FIR,Non-Heinous,DACOITY,2015-11-10 11:47:00,MORNING,0,7
15.070078347112446,74.60518697018519,FIR,Non-Heinous,DACOITY,2015-11-10 05:04:00,MORNING,0,7
13.048066308085398,77.53080331599831,FIR,Non-Heinous,DACOITY,2015-02-11 11:29:00,MORNING,0,7
14.451655147504,74.90622857071148,FIR,Non-Heinous,DACOITY,2014-08-11 14:15:00,DAY,0,7
14.423551663003131,76.75392066500584,PAR,Non-Heinous,DACOITY,2015-08-12 11:18:00,MORNING,0,7
13.251798049677422,76.99736866185464,UDR,Non-Heinous,DACOITY,2015-02-11 17:39:00,DAY,0,7
16.028937796454098,74.90197698298196,FIR,Non-Heinous,Concealment of birth by secret disposal of Child,2016-02-11 00:07:00,NIGHT,0,1
16.00474832116144,75.84307476185255,FIR,Non-Heinous,Concealment of birth by secret disposal of Child,2016-02-11 20:41:00,EVENING,0,1
14.844628524610732,74.43556488044774,FIR,Non-Heinous,Concealment of birth by secret disposal of Child,2016-02-11 12:49:00,DAY,0,1
13.557998507763532,74.92941587044703,Zero FIR,Non-Heinous,Concealment of birth by secret disposal of Child,2016-02-11 15:05:00,DAY,0,1
16.2860782307361,75.69180008726995,FIR,Non-Heinous,DACOITY,2014-02-13 15:11:00,DAY,0,7
14.961561744379248,75.80331176646834,FIR,Non-Heinous,DACOITY,2015-02-13 19:19:00,EVENING,0,7
13.536156602270893,75.6492869361802,FIR,Non-Heinous,DACOITY,2015-02-09 02:37:00,NIGHT,0,7
